Cpd,Formula,Mass,Score,RT
734,C14H20O2,220.146,95.71,9.271
858,C27H51NO,405.3959,95.64,11.767
1469,C33H66,462.516,95.63,18.133
6641,C32H63NO2,493.4851,95.34,11.871
850,C24H49NO,367.3819,94.8,17.821
790,C25H48N6O8,560.3524,94.61,7.841
6182,C3H10N3O5PS,231.0081,93.18,1.007
6252,C22H44N6O10,552.3124,93.01,4.619
7549,C32H46O7,542.3236,93.0,7.763
3078,C32H49NO7,559.3497,93.0,7.763
7739,C32H45NO6,539.3239,92.59,5.113
6998,C36H65NO15,751.4352,91.51,4.619
5185,C25H47O13P,586.2761,91.29,3.527
5423,C31H46NO13P,671.2689,91.04,4.229
6900,C69H129NO5,1051.9853,90.98,17.977
8325,C29H40O5,468.2874,90.71,7.556
860,C28H57NO,423.4425,90.07,19.874
4844,C35H59O12P,702.3732,89.56,14.054
7642,C26H43NO8,497.2969,89.49,14.547
7259,C41H75N2O6P,722.5343,89.11,14.106
